QuarterEnding,HBT,HBTQF,PatientType,Specialty,SpecialtyQF,NumberWaiting,NumberWaitingQF,Available,AvailableQF,Unavailable,UnavailableQF,MedicalTotal,MedicalTotalQF,MedicalOtherMedicalCondition,MedicalOtherMedicalConditionQF,MedicalIndefinitelyUnavailable,MedicalIndefinitelyUnavailableQF,MedicalOther,MedicalOtherQF,PatientAdvisedTotal,PatientAdvisedTotalQF,PatientAdvisedHoliday,PatientAdvisedHolidayQF,PatientAdvisedPersonalCommitment,PatientAdvisedPersonalCommitmentQF,PatientAdvisedWorkCommitment,PatientAdvisedWorkCommitmentQF,PatientAdvisedCarerCommitment,PatientAdvisedCarerCommitmentQF,PatientAdvisedAcademicCommitment,PatientAdvisedAcademicCommitmentQF,PatientAdvisedJuryDuty,PatientAdvisedJuryDutyQF,PatientAdvisedWeather,PatientAdvisedWeatherQF,PatientAdvisedIndefinitelyUnavailable,PatientAdvisedIndefinitelyUnavailableQF,PatientAdvisedOther,PatientAdvisedOtherQF,PatientRequestedTotal,PatientRequestedTotalQF,PatientRequestedNamedConsultant,PatientRequestedNamedConsultantQF,PatientRequestedTreatedLocalHealthBoard,PatientRequestedTreatedLocalHealthBoardQF,SuspensionExceptionalCircumstances,SuspensionExceptionalCircumstancesQF,PFBUnavailability,PFBUnavailabilityQF
20170331,S92000003,d,Inpatient/Day case,A6,,3,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20170630,S92000003,d,Inpatient/Day case,A6,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20170930,S92000003,d,Inpatient/Day case,A6,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20171231,S92000003,d,Inpatient/Day case,A6,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180331,S92000003,d,Inpatient/Day case,A6,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180630,S92000003,d,Inpatient/Day case,A6,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180930,S92000003,d,Inpatient/Day case,A6,,5,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20181231,S92000003,d,Inpatient/Day case,A6,,4,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20190331,S92000003,d,Inpatient/Day case,A6,,10,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20190630,S92000003,d,Inpatient/Day case,A6,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20190930,S92000003,d,Inpatient/Day case,A6,,5,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20191231,S92000003,d,Inpatient/Day case,A6,,7,,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200331,S92000003,d,Inpatient/Day case,A6,,3,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200630,S92000003,d,Inpatient/Day case,A6,,6,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200930,S92000003,d,Inpatient/Day case,A6,,5,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20201231,S92000003,d,Inpatient/Day case,A6,,5,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210331,S92000003,d,Inpatient/Day case,A6,,6,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210630,S92000003,d,Inpatient/Day case,A6,,5,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210930,S92000003,d,Inpatient/Day case,A6,,8,,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20211231,S92000003,d,Inpatient/Day case,A6,,16,,16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20220331,S92000003,d,Inpatient/Day case,A6,,16,,16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20150630,S92000003,d,Inpatient/Day case,AJ,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20150930,S92000003,d,Inpatient/Day case,AJ,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20151231,S92000003,d,Inpatient/Day case,AJ,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20160331,S92000003,d,Inpatient/Day case,AJ,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20160630,S92000003,d,Inpatient/Day case,AJ,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20160930,S92000003,d,Inpatient/Day case,AJ,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20161231,S92000003,d,Inpatient/Day case,AJ,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20151231,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20160331,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20160630,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20160930,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20161231,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20170331,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20170630,S92000003,d,Inpatient/Day case,G5,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20170930,S92000003,d,Inpatient/Day case,G5,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20171231,S92000003,d,Inpatient/Day case,G5,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180331,S92000003,d,Inpatient/Day case,G5,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20190331,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20191231,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20200331,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20200630,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20200930,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20201231,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20210331,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20210630,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20210930,S92000003,d,Inpatient/Day case,G5,,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u,,:u
20121231,S92000003,d,Inpatient/Day case,AD,,55,,50,,5,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,
20130331,S92000003,d,Inpatient/Day case,AD,,70,,67,,3,,1,,0,,0,,1,,2,,0,,0,,0,,0,,0,,0,,0,,0,,2,,0,,0,,0,,0,,0,
20130630,S92000003,d,Inpatient/Day case,AD,,81,,79,,2,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,
20130930,S92000003,d,Inpatient/Day case,AD,,78,,75,,3,,3,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20131231,S92000003,d,Inpatient/Day case,AD,,75,,68,,7,,3,,3,,0,,0,,4,,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20140331,S92000003,d,Inpatient/Day case,AD,,49,,47,,2,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20140630,S92000003,d,Inpatient/Day case,AD,,147,,144,,3,,1,,1,,0,,0,,2,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20140930,S92000003,d,Inpatient/Day case,AD,,87,,85,,2,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20141231,S92000003,d,Inpatient/Day case,AD,,128,,121,,7,,4,,4,,0,,0,,3,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20150331,S92000003,d,Inpatient/Day case,AD,,133,,126,,7,,4,,4,,0,,0,,3,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20150630,S92000003,d,Inpatient/Day case,AD,,131,,126,,5,,4,,4,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20150930,S92000003,d,Inpatient/Day case,AD,,123,,118,,5,,3,,3,,0,,0,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20151231,S92000003,d,Inpatient/Day case,AD,,122,,119,,3,,0,,0,,0,,0,,3,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20160331,S92000003,d,Inpatient/Day case,AD,,83,,81,,2,,1,,1,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20160630,S92000003,d,Inpatient/Day case,AD,,107,,104,,3,,2,,2,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20160930,S92000003,d,Inpatient/Day case,AD,,120,,118,,2,,1,,1,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20161231,S92000003,d,Inpatient/Day case,AD,,106,,101,,5,,1,,1,,0,,0,,4,,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20170331,S92000003,d,Inpatient/Day case,AD,,136,,129,,7,,6,,6,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20170630,S92000003,d,Inpatient/Day case,AD,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20170930,S92000003,d,Inpatient/Day case,AD,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20171231,S92000003,d,Inpatient/Day case,AD,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180331,S92000003,d,Inpatient/Day case,AD,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180630,S92000003,d,Inpatient/Day case,AD,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180930,S92000003,d,Inpatient/Day case,AD,,83,,79,,4,,3,,3,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20181231,S92000003,d,Inpatient/Day case,AD,,109,,96,,13,,13,,13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20190331,S92000003,d,Inpatient/Day case,AD,,104,,98,,6,,6,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20190630,S92000003,d,Inpatient/Day case,AD,,134,,124,,10,,10,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20190930,S92000003,d,Inpatient/Day case,AD,,118,,113,,5,,5,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20191231,S92000003,d,Inpatient/Day case,AD,,119,,118,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200331,S92000003,d,Inpatient/Day case,AD,,78,,78,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200630,S92000003,d,Inpatient/Day case,AD,,84,,83,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200930,S92000003,d,Inpatient/Day case,AD,,98,,98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20201231,S92000003,d,Inpatient/Day case,AD,,142,,142,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210331,S92000003,d,Inpatient/Day case,AD,,110,,110,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210630,S92000003,d,Inpatient/Day case,AD,,97,,97,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210930,S92000003,d,Inpatient/Day case,AD,,122,,120,,2,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20211231,S92000003,d,Inpatient/Day case,AD,,117,,117,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20220331,S92000003,d,Inpatient/Day case,AD,,92,,92,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20121231,S92000003,d,Inpatient/Day case,AH,,427,,413,,14,,13,,1,,0,,12,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20130331,S92000003,d,Inpatient/Day case,AH,,429,,416,,13,,7,,5,,0,,2,,6,,0,,4,,0,,0,,0,,0,,0,,0,,2,,0,,0,,0,,0,,0,
20130630,S92000003,d,Inpatient/Day case,AH,,336,,316,,20,,4,,4,,0,,0,,9,,1,,4,,1,,0,,0,,0,,0,,2,,1,,7,,6,,1,,0,,0,
20130930,S92000003,d,Inpatient/Day case,AH,,336,,318,,18,,1,,0,,1,,0,,8,,1,,6,,0,,0,,0,,0,,0,,1,,0,,9,,8,,1,,0,,0,
20131231,S92000003,d,Inpatient/Day case,AH,,249,,227,,22,,2,,2,,0,,0,,14,,1,,12,,1,,0,,0,,0,,0,,0,,0,,6,,6,,0,,0,,0,
20140331,S92000003,d,Inpatient/Day case,AH,,101,,98,,3,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,
20140630,S92000003,d,Inpatient/Day case,AH,,91,,86,,5,,0,,0,,0,,0,,4,,1,,2,,1,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,
20140930,S92000003,d,Inpatient/Day case,AH,,66,,65,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20141231,S92000003,d,Inpatient/Day case,AH,,79,,76,,3,,1,,1,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,
20150331,S92000003,d,Inpatient/Day case,AH,,58,,57,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20150630,S92000003,d,Inpatient/Day case,AH,,75,,69,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,,6,,0,,0,,0,
20150930,S92000003,d,Inpatient/Day case,AH,,87,,85,,2,,0,,0,,0,,0,,2,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20151231,S92000003,d,Inpatient/Day case,AH,,71,,71,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20160331,S92000003,d,Inpatient/Day case,AH,,96,,96,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20160630,S92000003,d,Inpatient/Day case,AH,,105,,99,,6,,1,,1,,0,,0,,2,,0,,2,,0,,0,,0,,0,,0,,0,,0,,3,,3,,0,,0,,0,
20160930,S92000003,d,Inpatient/Day case,AH,,84,,81,,3,,0,,0,,0,,0,,3,,0,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20161231,S92000003,d,Inpatient/Day case,AH,,98,,97,,1,,0,,0,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20170331,S92000003,d,Inpatient/Day case,AH,,81,,79,,2,,0,,0,,0,,0,,2,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20170630,S92000003,d,Inpatient/Day case,AH,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20170930,S92000003,d,Inpatient/Day case,AH,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20171231,S92000003,d,Inpatient/Day case,AH,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180331,S92000003,d,Inpatient/Day case,AH,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180630,S92000003,d,Inpatient/Day case,AH,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
20180930,S92000003,d,Inpatient/Day case,AH,,107,,105,,2,,1,,1,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20181231,S92000003,d,Inpatient/Day case,AH,,118,,117,,1,,0,,0,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20190331,S92000003,d,Inpatient/Day case,AH,,130,,130,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20190630,S92000003,d,Inpatient/Day case,AH,,103,,103,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20190930,S92000003,d,Inpatient/Day case,AH,,89,,89,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20191231,S92000003,d,Inpatient/Day case,AH,,62,,61,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200331,S92000003,d,Inpatient/Day case,AH,,59,,58,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200630,S92000003,d,Inpatient/Day case,AH,,73,,70,,3,,2,,2,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20200930,S92000003,d,Inpatient/Day case,AH,,81,,81,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20201231,S92000003,d,Inpatient/Day case,AH,,78,,78,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210331,S92000003,d,Inpatient/Day case,AH,,90,,89,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,
20210630,S92000003,d,Inpatient/Day case,AH,,91,,91,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20210930,S92000003,d,Inpatient/Day case,AH,,79,,79,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20211231,S92000003,d,Inpatient/Day case,AH,,57,,57,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20220331,S92000003,d,Inpatient/Day case,AH,,65,,65,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20121231,S92000003,d,Inpatient/Day case,C6,,590,,517,,73,,21,,2,,0,,19,,38,,5,,4,,1,,1,,0,,0,,0,,0,,27,,14,,2,,12,,0,,0,
20130331,S92000003,d,Inpatient/Day case,C6,,547,,452,,95,,30,,12,,2,,16,,19,,3,,6,,3,,0,,1,,0,,0,,0,,6,,46,,4,,42,,0,,0,
20130630,S92000003,d,Inpatient/Day case,C6,,541,,451,,90,,12,,11,,0,,1,,23,,6,,12,,3,,1,,0,,0,,0,,0,,1,,55,,6,,49,,0,,0,
20130930,S92000003,d,Inpatient/Day case,C6,,478,,398,,80,,13,,13,,0,,0,,28,,5,,10,,11,,1,,1,,0,,0,,0,,0,,39,,4,,35,,0,,0,
20131231,S92000003,d,Inpatient/Day case,C6,,431,,362,,69,,23,,23,,0,,0,,20,,2,,12,,6,,0,,0,,0,,0,,0,,0,,26,,6,,20,,0,,0,
20140331,S92000003,d,Inpatient/Day case,C6,,250,,216,,34,,10,,10,,0,,0,,17,,3,,8,,2,,1,,3,,0,,0,,0,,0,,7,,4,,3,,0,,0,
20140630,S92000003,d,Inpatient/Day case,C6,,573,,473,,100,,14,,14,,0,,0,,58,,21,,26,,6,,3,,2,,0,,0,,0,,0,,28,,11,,17,,0,,0,
20140930,S92000003,d,Inpatient/Day case,C6,,669,,532,,137,,28,,27,,1,,0,,54,,20,,29,,5,,0,,0,,0,,0,,0,,0,,55,,17,,38,,0,,0,
20141231,S92000003,d,Inpatient/Day case,C6,,616,,491,,125,,24,,23,,1,,0,,51,,10,,29,,8,,3,,1,,0,,0,,0,,0,,50,,15,,35,,0,,0,
20150331,S92000003,d,Inpatient/Day case,C6,,685,,560,,125,,28,,28,,0,,0,,45,,15,,22,,5,,1,,2,,0,,0,,0,,0,,51,,17,,34,,0,,1,
20150630,S92000003,d,Inpatient/Day case,C6,,659,,539,,120,,40,,40,,0,,0,,50,,17,,27,,4,,1,,1,,0,,0,,0,,0,,30,,13,,17,,0,,0,
20150930,S92000003,d,Inpatient/Day case,C6,,625,,489,,136,,38,,38,,0,,0,,49,,14,,25,,7,,2,,0,,0,,0,,1,,0,,49,,33,,16,,0,,0,
20151231,S92000003,d,Inpatient/Day case,C6,,669,,536,,133,,37,,31,,6,,0,,48,,7,,32,,6,,2,,1,,0,,0,,0,,0,,48,,36,,12,,0,,0,
20160331,S92000003,d,Inpatient/Day case,C6,,700,,599,,101,,36,,33,,3,,0,,41,,9,,16,,12,,0,,2,,0,,0,,2,,0,,24,,14,,10,,0,,0,
20160630,S92000003,d,Inpatient/Day case,C6,,657,,585,,72,,15,,15,,0,,0,,52,,24,,19,,6,,1,,1,,0,,0,,1,,0,,5,,5,,0,,0,,0,
20160930,S92000003,d,Inpatient/Day case,C6,,648,,595,,53,,22,,22,,0,,0,,29,,19,,9,,1,,0,,0,,0,,0,,0,,0,,2,,2,,0,,0,,0,
20161231,S92000003,d,Inpatient/Day case,C6,,689,,645,,44,,15,,15,,0,,0,,26,,4,,18,,4,,0,,0,,0,,0,,0,,0,,3,,3,,0,,0,,0,
20170331,S92000003,d,Inpatient/Day case,C6,,635,,591,,44,,19,,19,,0,,0,,23,,9,,11,,3,,0,,0,,0,,0,,0,,0,,2,,2,,0,,0,,0,
