"QuarterEnding","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","Additions","AdditionsQF","Removals","RemovalsQF","Attended","AttendedQF","ReferredBackToGP","ReferredBackToGPQF","Transferred","TransferredQF","TreatmentNoLongerRequired","TreatmentNoLongerRequiredQF","OtherReasons","OtherReasonsQF"
"20181231","S08000015",,"New Outpatient","C5",,2474,,2693,,2132,,108,,0,,76,,377,
"20191231","S08000015",,"New Outpatient","C5",,2316,,2923,,2293,,79,,3,,68,,480,
"20201231","S08000015",,"New Outpatient","C5",,1403,,1699,,1480,,58,,1,,56,,104,
"20211231","S08000015",,"New Outpatient","C5",,1857,,1893,,1721,,61,,0,,40,,71,
"20130630","S08000015",,"New Outpatient","A8",,485,,480,,416,,36,,0,,15,,13,
"20140630","S08000015",,"New Outpatient","A8",,450,,519,,432,,52,,0,,15,,20,
"20150630","S08000015",,"New Outpatient","A8",,467,,439,,380,,30,,0,,12,,17,
"20160630","S08000015",,"New Outpatient","A8",,525,,476,,381,,39,,0,,24,,32,
"20170630","S08000015",,"New Outpatient","A8",,458,,673,,575,,55,,0,,27,,16,
"20180630","S08000015",,"New Outpatient","A8",,626,,538,,442,,50,,0,,16,,30,
"20190630","S08000015",,"New Outpatient","A8",,608,,560,,464,,45,,1,,11,,39,
"20200630","S08000015",,"New Outpatient","A8",,279,,106,,72,,5,,0,,3,,26,
"20210630","S08000015",,"New Outpatient","A8",,506,,217,,118,,12,,0,,5,,82,
"20130930","S08000015",,"New Outpatient","A8",,447,,452,,383,,42,,0,,11,,16,
"20140930","S08000015",,"New Outpatient","A8",,493,,445,,381,,39,,0,,8,,17,
"20150930","S08000015",,"New Outpatient","A8",,427,,374,,320,,28,,0,,12,,14,
"20160930","S08000015",,"New Outpatient","A8",,452,,582,,466,,64,,0,,26,,26,
"20170930","S08000015",,"New Outpatient","A8",,540,,566,,502,,44,,0,,13,,7,
"20180930","S08000015",,"New Outpatient","A8",,566,,595,,495,,48,,1,,22,,29,
"20190930","S08000015",,"New Outpatient","A8",,536,,672,,559,,48,,0,,18,,47,
"20200930","S08000015",,"New Outpatient","A8",,426,,179,,119,,12,,0,,2,,46,
"20210930","S08000015",,"New Outpatient","A8",,512,,260,,149,,11,,0,,4,,96,
"20130331","S08000015",,"New Outpatient","A8",,470,,459,,392,,31,,0,,14,,22,
"20140331","S08000015",,"New Outpatient","A8",,541,,439,,385,,34,,0,,8,,12,
"20150331","S08000015",,"New Outpatient","A8",,466,,513,,422,,50,,1,,18,,22,
"20160331","S08000015",,"New Outpatient","A8",,484,,323,,259,,22,,1,,15,,26,
"20170331","S08000015",,"New Outpatient","A8",,471,,653,,523,,57,,0,,26,,47,
"20180331","S08000015",,"New Outpatient","A8",,593,,475,,383,,42,,0,,22,,28,
"20190331","S08000015",,"New Outpatient","A8",,583,,548,,442,,51,,0,,19,,36,
"20200331","S08000015",,"New Outpatient","A8",,550,,502,,410,,45,,0,,17,,30,
"20210331","S08000015",,"New Outpatient","A8",,499,,177,,81,,9,,0,,4,,83,
"20220331","S08000015",,"New Outpatient","A8",,484,,381,,248,,29,,1,,4,,99,
"20121231","S08000015",,"New Outpatient","A8",,465,,373,,313,,31,,1,,5,,23,
"20131231","S08000015",,"New Outpatient","A8",,455,,486,,424,,30,,0,,13,,19,
"20141231","S08000015",,"New Outpatient","A8",,498,,342,,277,,31,,1,,16,,17,
"20151231","S08000015",,"New Outpatient","A8",,458,,438,,357,,44,,1,,14,,22,
"20161231","S08000015",,"New Outpatient","A8",,466,,480,,376,,56,,1,,25,,22,
"20171231","S08000015",,"New Outpatient","A8",,572,,426,,353,,40,,3,,11,,19,
"20181231","S08000015",,"New Outpatient","A8",,546,,600,,502,,49,,0,,17,,32,
"20191231","S08000015",,"New Outpatient","A8",,539,,590,,476,,66,,0,,21,,27,
"20201231","S08000015",,"New Outpatient","A8",,463,,208,,119,,14,,0,,7,,68,
"20211231","S08000015",,"New Outpatient","A8",,457,,377,,245,,36,,1,,7,,88,
"20130630","S08000015",,"New Outpatient","A9",,635,,645,,530,,59,,0,,33,,23,
"20140630","S08000015",,"New Outpatient","A9",,693,,666,,564,,62,,0,,21,,19,
"20150630","S08000015",,"New Outpatient","A9",,728,,927,,775,,86,,0,,37,,29,
"20160630","S08000015",,"New Outpatient","A9",,828,,757,,608,,74,,2,,48,,25,
"20170630","S08000015",,"New Outpatient","A9",,727,,699,,581,,56,,0,,34,,28,
"20180630","S08000015",,"New Outpatient","A9",,938,,765,,651,,66,,0,,22,,26,
"20190630","S08000015",,"New Outpatient","A9",,796,,925,,770,,86,,1,,28,,40,
"20200630","S08000015",,"New Outpatient","A9",,369,,193,,155,,8,,0,,6,,24,
"20210630","S08000015",,"New Outpatient","A9",,921,,388,,225,,20,,0,,6,,137,
"20130930","S08000015",,"New Outpatient","A9",,744,,676,,562,,64,,0,,24,,26,
"20140930","S08000015",,"New Outpatient","A9",,723,,619,,505,,53,,1,,23,,37,
"20150930","S08000015",,"New Outpatient","A9",,830,,668,,548,,65,,0,,41,,14,
"20160930","S08000015",,"New Outpatient","A9",,776,,826,,655,,79,,1,,42,,49,
"20170930","S08000015",,"New Outpatient","A9",,790,,881,,720,,74,,1,,28,,58,
"20180930","S08000015",,"New Outpatient","A9",,968,,697,,585,,49,,0,,21,,42,
"20190930","S08000015",,"New Outpatient","A9",,834,,898,,739,,86,,0,,34,,39,
"20200930","S08000015",,"New Outpatient","A9",,597,,292,,204,,14,,0,,4,,70,
"20210930","S08000015",,"New Outpatient","A9",,940,,748,,535,,44,,2,,22,,145,
"20130331","S08000015",,"New Outpatient","A9",,633,,637,,538,,46,,0,,23,,30,
"20140331","S08000015",,"New Outpatient","A9",,686,,610,,513,,45,,1,,28,,23,
"20150331","S08000015",,"New Outpatient","A9",,810,,687,,537,,72,,0,,33,,45,
"20160331","S08000015",,"New Outpatient","A9",,828,,635,,539,,48,,0,,21,,27,
"20170331","S08000015",,"New Outpatient","A9",,761,,846,,681,,78,,1,,35,,51,
"20180331","S08000015",,"New Outpatient","A9",,797,,938,,782,,75,,1,,29,,51,
"20190331","S08000015",,"New Outpatient","A9",,796,,952,,783,,71,,1,,41,,56,
"20200331","S08000015",,"New Outpatient","A9",,819,,956,,786,,55,,0,,38,,77,
"20210331","S08000015",,"New Outpatient","A9",,825,,355,,224,,13,,0,,8,,110,
"20220331","S08000015",,"New Outpatient","A9",,864,,648,,458,,42,,0,,25,,123,
"20121231","S08000015",,"New Outpatient","A9",,691,,631,,524,,45,,0,,34,,28,
"20131231","S08000015",,"New Outpatient","A9",,649,,736,,624,,57,,0,,36,,19,
"20141231","S08000015",,"New Outpatient","A9",,693,,536,,417,,64,,1,,24,,30,
"20151231","S08000015",,"New Outpatient","A9",,867,,1048,,877,,96,,0,,44,,31,
"20161231","S08000015",,"New Outpatient","A9",,724,,745,,605,,64,,0,,48,,28,
"20171231","S08000015",,"New Outpatient","A9",,789,,851,,714,,59,,0,,34,,44,
"20181231","S08000015",,"New Outpatient","A9",,853,,765,,620,,62,,0,,28,,55,
"20191231","S08000015",,"New Outpatient","A9",,885,,885,,743,,89,,0,,16,,37,
"20201231","S08000015",,"New Outpatient","A9",,684,,296,,182,,21,,0,,11,,82,
"20211231","S08000015",,"New Outpatient","A9",,883,,1055,,832,,77,,0,,24,,122,
"20130630","S08000015",,"New Outpatient","A1",,3164,,3114,,2654,,186,,1,,173,,100,
"20140630","S08000015",,"New Outpatient","A1",,3106,,3088,,2604,,169,,5,,171,,139,
"20150630","S08000015",,"New Outpatient","A1",,2886,,2902,,2453,,147,,0,,191,,111,
"20160630","S08000015",,"New Outpatient","A1",,3037,,3222,,2707,,150,,6,,244,,115,
"20170630","S08000015",,"New Outpatient","A1",,2975,,3038,,2511,,183,,4,,211,,129,
"20180630","S08000015",,"New Outpatient","A1",,2921,,3055,,2487,,193,,0,,233,,142,
"20190630","S08000015",,"New Outpatient","A1",,3024,,3249,,2631,,85,,2,,201,,330,
"20200630","S08000015",,"New Outpatient","A1",,173,,40,,27,,1,,0,,0,,12,
"20210630","S08000015",,"New Outpatient","A1",,747,,771,,666,,11,,1,,58,,35,
"20130930","S08000015",,"New Outpatient","A1",,2993,,3218,,2781,,181,,2,,162,,92,
"20140930","S08000015",,"New Outpatient","A1",,2980,,3030,,2522,,171,,1,,211,,125,
"20150930","S08000015",,"New Outpatient","A1",,2963,,2912,,2448,,151,,3,,205,,105,
"20160930","S08000015",,"New Outpatient","A1",,2942,,2891,,2472,,143,,2,,180,,94,
"20170930","S08000015",,"New Outpatient","A1",,3081,,3123,,2581,,133,,2,,256,,151,
"20180930","S08000015",,"New Outpatient","A1",,2952,,2838,,2306,,152,,3,,219,,158,
"20190930","S08000015",,"New Outpatient","A1",,2728,,3116,,2530,,80,,3,,206,,297,
"20200930","S08000015",,"New Outpatient","A1",,657,,548,,443,,3,,0,,61,,41,
"20210930","S08000015",,"New Outpatient","A1",,687,,652,,580,,8,,0,,49,,15,
"20130331","S08000015",,"New Outpatient","A1",,3167,,3313,,2809,,183,,2,,200,,119,
"20140331","S08000015",,"New Outpatient","A1",,3323,,3027,,2588,,139,,2,,189,,109,
"20150331","S08000015",,"New Outpatient","A1",,3233,,3023,,2588,,138,,6,,179,,112,
"20160331","S08000015",,"New Outpatient","A1",,2817,,3091,,2563,,154,,1,,260,,113,
"20170331","S08000015",,"New Outpatient","A1",,3342,,3047,,2515,,156,,2,,188,,186,
"20180331","S08000015",,"New Outpatient","A1",,3047,,2851,,2340,,148,,1,,212,,150,
"20190331","S08000015",,"New Outpatient","A1",,3227,,3258,,2659,,170,,2,,240,,187,
"20200331","S08000015",,"New Outpatient","A1",,601,,860,,724,,31,,1,,50,,54,
"20210331","S08000015",,"New Outpatient","A1",,703,,608,,518,,13,,0,,45,,32,
"20220331","S08000015",,"New Outpatient","A1",,719,,677,,608,,10,,1,,29,,29,
"20121231","S08000015",,"New Outpatient","A1",,3291,,3284,,2836,,182,,2,,180,,84,
"20131231","S08000015",,"New Outpatient","A1",,3144,,2749,,2320,,170,,2,,154,,103,
"20141231","S08000015",,"New Outpatient","A1",,2888,,2903,,2444,,183,,1,,142,,133,
"20151231","S08000015",,"New Outpatient","A1",,3125,,2931,,2477,,159,,2,,204,,89,
"20161231","S08000015",,"New Outpatient","A1",,3099,,2878,,2403,,144,,2,,230,,99,
"20171231","S08000015",,"New Outpatient","A1",,3193,,2938,,2430,,150,,1,,218,,139,
"20181231","S08000015",,"New Outpatient","A1",,3285,,3122,,2538,,177,,11,,239,,157,
"20191231","S08000015",,"New Outpatient","A1",,811,,2200,,1821,,81,,0,,116,,182,
"20201231","S08000015",,"New Outpatient","A1",,694,,662,,579,,6,,0,,32,,45,
"20211231","S08000015",,"New Outpatient","A1",,717,,773,,658,,13,,0,,80,,22,
"20130630","S08000015",,"New Outpatient","C11",,3303,,2993,,2489,,148,,11,,108,,237,
"20140630","S08000015",,"New Outpatient","C11",,3290,,3501,,3083,,158,,3,,146,,111,
"20150630","S08000015",,"New Outpatient","C11",,3438,,2962,,2596,,121,,3,,129,,113,
"20160630","S08000015",,"New Outpatient","C11",,3277,,3487,,3078,,137,,1,,134,,137,
"20170630","S08000015",,"New Outpatient","C11",,2992,,3131,,2794,,135,,0,,99,,103,
"20180630","S08000015",,"New Outpatient","C11",,3514,,3152,,2760,,113,,5,,117,,157,
"20190630","S08000015",,"New Outpatient","C11",,3580,,3687,,3088,,145,,0,,273,,181,
"20200630","S08000015",,"New Outpatient","C11",,1582,,1209,,902,,27,,6,,48,,226,
"20210630","S08000015",,"New Outpatient","C11",,3138,,3517,,2800,,101,,6,,273,,337,
"20130930","S08000015",,"New Outpatient","C11",,3278,,3143,,2690,,127,,13,,127,,186,
"20140930","S08000015",,"New Outpatient","C11",,3202,,3318,,2941,,132,,7,,123,,115,
"20150930","S08000015",,"New Outpatient","C11",,3407,,3126,,2722,,135,,3,,153,,113,
"20160930","S08000015",,"New Outpatient","C11",,3117,,3291,,2873,,129,,1,,161,,127,
"20170930","S08000015",,"New Outpatient","C11",,3148,,3018,,2687,,97,,2,,107,,125,
"20180930","S08000015",,"New Outpatient","C11",,3331,,3038,,2629,,132,,1,,114,,162,
"20190930","S08000015",,"New Outpatient","C11",,3508,,2910,,2440,,100,,7,,248,,115,
"20200930","S08000015",,"New Outpatient","C11",,2783,,2075,,1726,,71,,0,,61,,217,
"20210930","S08000015",,"New Outpatient","C11",,2944,,2775,,2251,,102,,86,,123,,213,
"20130331","S08000015",,"New Outpatient","C11",,3020,,3063,,2693,,93,,2,,99,,176,
"20140331","S08000015",,"New Outpatient","C11",,3491,,3204,,2832,,138,,4,,133,,97,
"20150331","S08000015",,"New Outpatient","C11",,3382,,3446,,3038,,149,,2,,157,,100,
"20160331","S08000015",,"New Outpatient","C11",,3039,,3419,,2911,,164,,42,,168,,134,
"20170331","S08000015",,"New Outpatient","C11",,3304,,3540,,3101,,144,,0,,140,,155,
"20180331","S08000015",,"New Outpatient","C11",,3297,,3027,,2632,,141,,2,,120,,132,
"20190331","S08000015",,"New Outpatient","C11",,3592,,3671,,3129,,153,,0,,208,,181,
"20200331","S08000015",,"New Outpatient","C11",,3355,,3933,,3189,,152,,13,,208,,371,
"20210331","S08000015",,"New Outpatient","C11",,3030,,2914,,2314,,85,,170,,153,,192,
"20220331","S08000015",,"New Outpatient","C11",,3798,,3689,,3084,,130,,122,,157,,196,
"20121231","S08000015",,"New Outpatient","C11",,3116,,2899,,2524,,86,,1,,89,,199,
"20131231","S08000015",,"New Outpatient","C11",,3226,,3372,,2932,,168,,3,,134,,135,
"20141231","S08000015",,"New Outpatient","C11",,3467,,3204,,2877,,141,,3,,107,,76,
"20151231","S08000015",,"New Outpatient","C11",,3289,,3272,,2791,,120,,31,,162,,168,
"20161231","S08000015",,"New Outpatient","C11",,3207,,3109,,2746,,139,,0,,111,,113,
"20171231","S08000015",,"New Outpatient","C11",,3200,,3109,,2716,,127,,3,,125,,138,
"20181231","S08000015",,"New Outpatient","C11",,3400,,3295,,2814,,165,,1,,136,,179,
"20191231","S08000015",,"New Outpatient","C11",,3678,,3963,,3140,,120,,19,,223,,461,
"20201231","S08000015",,"New Outpatient","C11",,2986,,2390,,1925,,77,,96,,86,,206,
"20211231","S08000015",,"New Outpatient","C11",,3356,,3849,,3156,,208,,8,,173,,304,
"20130630","S08000015",,"New Outpatient","AB",,408,,412,,325,,7,,0,,17,,63,
"20140630","S08000015",,"New Outpatient","AB",,437,,413,,329,,13,,0,,18,,53,
"20150630","S08000015",,"New Outpatient","AB",,364,,352,,282,,5,,1,,11,,53,
"20160630","S08000015",,"New Outpatient","AB",,402,,372,,295,,6,,0,,7,,64,
"20170630","S08000015",,"New Outpatient","AB",,399,,387,,334,,2,,0,,11,,40,
"20180630","S08000015",,"New Outpatient","AB",,353,,349,,275,,10,,0,,11,,53,
"20190630","S08000015",,"New Outpatient","AB",,458,,425,,354,,6,,0,,9,,56,
"20200630","S08000015",,"New Outpatient","AB",,98,,66,,37,,0,,8,,0,,21,
"20210630","S08000015",,"New Outpatient","AB",,424,,340,,287,,1,,0,,2,,50,
"20130930","S08000015",,"New Outpatient","AB",,410,,414,,329,,9,,0,,10,,66,
"20140930","S08000015",,"New Outpatient","AB",,441,,432,,343,,11,,2,,12,,64,
"20150930","S08000015",,"New Outpatient","AB",,387,,395,,324,,6,,0,,13,,52,
"20160930","S08000015",,"New Outpatient","AB",,358,,350,,280,,6,,0,,11,,53,
"20170930","S08000015",,"New Outpatient","AB",,378,,359,,290,,5,,0,,7,,57,
"20180930","S08000015",,"New Outpatient","AB",,398,,381,,314,,4,,0,,15,,48,
"20190930","S08000015",,"New Outpatient","AB",,465,,484,,405,,4,,2,,10,,63,
"20200930","S08000015",,"New Outpatient","AB",,347,,327,,264,,2,,0,,8,,53,
"20210930","S08000015",,"New Outpatient","AB",,424,,398,,327,,2,,0,,8,,61,
"20130331","S08000015",,"New Outpatient","AB",,411,,410,,335,,11,,0,,17,,47,
"20140331","S08000015",,"New Outpatient","AB",,393,,390,,320,,8,,0,,15,,47,
"20150331","S08000015",,"New Outpatient","AB",,379,,358,,292,,7,,0,,10,,49,
"20160331","S08000015",,"New Outpatient","AB",,389,,374,,304,,10,,0,,14,,46,
"20170331","S08000015",,"New Outpatient","AB",,347,,356,,294,,9,,0,,16,,37,
"20180331","S08000015",,"New Outpatient","AB",,359,,339,,269,,4,,0,,8,,58,
"20190331","S08000015",,"New Outpatient","AB",,391,,375,,316,,5,,0,,12,,42,
"20200331","S08000015",,"New Outpatient","AB",,394,,405,,335,,6,,0,,13,,51,
"20210331","S08000015",,"New Outpatient","AB",,331,,355,,251,,3,,0,,4,,97,
"20220331","S08000015",,"New Outpatient","AB",,370,,322,,267,,2,,1,,6,,46,
"20121231","S08000015",,"New Outpatient","AB",,396,,413,,322,,15,,0,,17,,59,
"20131231","S08000015",,"New Outpatient","AB",,421,,403,,316,,9,,0,,14,,64,
"20141231","S08000015",,"New Outpatient","AB",,355,,411,,347,,12,,3,,14,,35,
"20151231","S08000015",,"New Outpatient","AB",,342,,366,,285,,8,,0,,5,,68,
"20161231","S08000015",,"New Outpatient","AB",,366,,401,,339,,5,,0,,10,,47,
"20171231","S08000015",,"New Outpatient","AB",,322,,361,,302,,6,,0,,14,,39,
"20181231","S08000015",,"New Outpatient","AB",,424,,393,,323,,8,,1,,7,,54,
"20191231","S08000015",,"New Outpatient","AB",,400,,426,,365,,1,,0,,8,,52,
"20201231","S08000015",,"New Outpatient","AB",,319,,321,,281,,5,,0,,6,,29,
"20211231","S08000015",,"New Outpatient","AB",,353,,366,,298,,9,,0,,5,,54,
"20130630","S08000015",,"New Outpatient","F2",,1827,,1737,,1464,,96,,0,,39,,138,
"20140630","S08000015",,"New Outpatient","F2",,1935,,1914,,1587,,104,,0,,67,,156,
"20150630","S08000015",,"New Outpatient","F2",,2055,,1880,,1603,,82,,1,,57,,137,
"20160630","S08000015",,"New Outpatient","F2",,2067,,2006,,1669,,78,,4,,66,,189,
"20170630","S08000015",,"New Outpatient","F2",,1928,,1992,,1717,,90,,10,,48,,127,
"20180630","S08000015",,"New Outpatient","F2",,1921,,1696,,1433,,81,,3,,36,,143,
"20190630","S08000015",,"New Outpatient","F2",,2072,,2107,,1789,,99,,32,,59,,128,
"20200630","S08000015",,"New Outpatient","F2",,950,,951,,839,,11,,10,,17,,74,
"20210630","S08000015",,"New Outpatient","F2",,2155,,2389,,1966,,123,,13,,84,,203,
"20130930","S08000015",,"New Outpatient","F2",,1872,,1843,,1550,,81,,0,,50,,162,
"20140930","S08000015",,"New Outpatient","F2",,1928,,1916,,1613,,104,,0,,62,,137,
"20150930","S08000015",,"New Outpatient","F2",,1977,,1978,,1666,,106,,0,,69,,137,
"20160930","S08000015",,"New Outpatient","F2",,1919,,1985,,1667,,80,,2,,53,,183,
"20170930","S08000015",,"New Outpatient","F2",,1875,,1599,,1391,,61,,11,,40,,96,
"20180930","S08000015",,"New Outpatient","F2",,1968,,1944,,1647,,91,,25,,55,,126,
"20190930","S08000015",,"New Outpatient","F2",,1998,,1944,,1648,,94,,15,,49,,138,
"20200930","S08000015",,"New Outpatient","F2",,1763,,1221,,1047,,24,,8,,35,,107,
"20210930","S08000015",,"New Outpatient","F2",,2055,,2408,,2000,,122,,36,,81,,169,
"20130331","S08000015",,"New Outpatient","F2",,1929,,2044,,1777,,86,,0,,32,,149,
"20140331","S08000015",,"New Outpatient","F2",,1921,,1933,,1648,,85,,1,,63,,136,
"20150331","S08000015",,"New Outpatient","F2",,2053,,1912,,1654,,84,,0,,60,,114,
"20160331","S08000015",,"New Outpatient","F2",,2102,,1958,,1669,,95,,1,,60,,133,
"20170331","S08000015",,"New Outpatient","F2",,1996,,2166,,1903,,67,,1,,53,,142,
"20180331","S08000015",,"New Outpatient","F2",,1908,,1975,,1714,,74,,2,,59,,126,
"20190331","S08000015",,"New Outpatient","F2",,2180,,2009,,1684,,87,,18,,59,,161,
"20200331","S08000015",,"New Outpatient","F2",,1914,,1943,,1692,,62,,29,,45,,115,
"20210331","S08000015",,"New Outpatient","F2",,1938,,1814,,1486,,38,,40,,62,,188,
"20220331","S08000015",,"New Outpatient","F2",,2355,,1875,,1586,,92,,23,,43,,131,
"20121231","S08000015",,"New Outpatient","F2",,2039,,2105,,1804,,92,,1,,43,,165,
"20131231","S08000015",,"New Outpatient","F2",,1946,,1963,,1677,,83,,15,,56,,132,
"20141231","S08000015",,"New Outpatient","F2",,1930,,1893,,1633,,87,,0,,53,,120,
"20151231","S08000015",,"New Outpatient","F2",,1945,,2046,,1754,,96,,0,,60,,136,
"20161231","S08000015",,"New Outpatient","F2",,1878,,2190,,1905,,109,,1,,49,,126,
"20171231","S08000015",,"New Outpatient","F2",,1875,,1915,,1663,,80,,1,,46,,125,
"20181231","S08000015",,"New Outpatient","F2",,2078,,2130,,1817,,116,,25,,51,,121,
"20191231","S08000015",,"New Outpatient","F2",,1964,,2295,,1943,,136,,8,,58,,150,
"20201231","S08000015",,"New Outpatient","F2",,2017,,1374,,1184,,46,,5,,29,,110,
"20211231","S08000015",,"New Outpatient","F2",,2136,,2485,,2117,,144,,7,,67,,150,
"20130630","S08000015",,"New Outpatient","J4",,404,,394,,340,,4,,1,,21,,28,
"20140630","S08000015",,"New Outpatient","J4",,408,,381,,340,,2,,0,,13,,26,
"20150630","S08000015",,"New Outpatient","J4",,375,,340,,300,,9,,0,,7,,24,
"20160630","S08000015",,"New Outpatient","J4",,255,,262,,232,,3,,0,,10,,17,
"20170630","S08000015",,"New Outpatient","J4",,195,,198,,167,,6,,0,,10,,15,
"20180630","S08000015",,"New Outpatient","J4",,203,,180,,149,,7,,0,,9,,15,
"20190630","S08000015",,"New Outpatient","J4",,223,,176,,145,,3,,1,,7,,20,
"20200630","S08000015",,"New Outpatient","J4",,85,,62,,50,,0,,0,,1,,11,
"20210630","S08000015",,"New Outpatient","J4",,201,,233,,202,,8,,0,,0,,23,
"20130930","S08000015",,"New Outpatient","J4",,396,,384,,340,,2,,2,,13,,27,
"20140930","S08000015",,"New Outpatient","J4",,362,,356,,310,,9,,0,,17,,20,
"20150930","S08000015",,"New Outpatient","J4",,331,,354,,322,,4,,1,,13,,14,
"20160930","S08000015",,"New Outpatient","J4",,233,,205,,175,,7,,0,,7,,16,
"20170930","S08000015",,"New Outpatient","J4",,186,,156,,137,,7,,0,,5,,7,
"20180930","S08000015",,"New Outpatient","J4",,179,,211,,194,,2,,0,,8,,7,
"20190930","S08000015",,"New Outpatient","J4",,193,,191,,157,,6,,0,,7,,21,
"20200930","S08000015",,"New Outpatient","J4",,162,,135,,113,,0,,0,,4,,18,
"20210930","S08000015",,"New Outpatient","J4",,214,,193,,164,,6,,1,,2,,20,
"20130331","S08000015",,"New Outpatient","J4",,394,,382,,334,,3,,0,,14,,31,
"20140331","S08000015",,"New Outpatient","J4",,390,,408,,356,,7,,0,,25,,20,
"20150331","S08000015",,"New Outpatient","J4",,340,,372,,327,,6,,2,,20,,17,
"20160331","S08000015",,"New Outpatient","J4",,322,,338,,281,,9,,0,,14,,34,
"20170331","S08000015",,"New Outpatient","J4",,187,,215,,183,,7,,0,,4,,21,
"20180331","S08000015",,"New Outpatient","J4",,188,,216,,189,,4,,0,,7,,16,
"20190331","S08000015",,"New Outpatient","J4",,151,,159,,145,,4,,0,,2,,8,
"20200331","S08000015",,"New Outpatient","J4",,188,,199,,171,,1,,0,,4,,23,
"20210331","S08000015",,"New Outpatient","J4",,180,,151,,116,,0,,1,,6,,28,
"20220331","S08000015",,"New Outpatient","J4",,214,,215,,196,,2,,0,,1,,16,
"20121231","S08000015",,"New Outpatient","J4",,396,,405,,340,,3,,3,,15,,44,
"20131231","S08000015",,"New Outpatient","J4",,383,,375,,325,,5,,1,,16,,28,
"20141231","S08000015",,"New Outpatient","J4",,370,,351,,299,,17,,0,,12,,23,
"20151231","S08000015",,"New Outpatient","J4",,313,,310,,265,,6,,1,,12,,26,
"20161231","S08000015",,"New Outpatient","J4",,220,,218,,193,,3,,0,,6,,16,
"20171231","S08000015",,"New Outpatient","J4",,206,,190,,163,,7,,0,,7,,13,
"20181231","S08000015",,"New Outpatient","J4",,162,,174,,155,,1,,0,,10,,8,
"20191231","S08000015",,"New Outpatient","J4",,215,,238,,206,,6,,0,,8,,18,
"20201231","S08000015",,"New Outpatient","J4",,164,,155,,108,,0,,0,,3,,44,
"20211231","S08000015",,"New Outpatient","J4",,200,,183,,161,,3,,0,,5,,14,
"20130630","S08000015",,"New Outpatient","A6",,150,,202,,109,,74,,0,,11,,8,
"20140630","S08000015",,"New Outpatient","A6",,170,,154,,95,,45,,0,,10,,4,
"20150630","S08000015",,"New Outpatient","A6",,159,,139,,98,,32,,0,,4,,5,
"20160630","S08000015",,"New Outpatient","A6",,175,,165,,113,,40,,0,,5,,7,
"20170630","S08000015",,"New Outpatient","A6",,114,,125,,63,,35,,0,,24,,3,
"20180630","S08000015",,"New Outpatient","A6",,246,,240,,193,,22,,0,,18,,7,
"20190630","S08000015",,"New Outpatient","A6",,278,,267,,214,,47,,0,,2,,4,
"20200630","S08000015",,"New Outpatient","A6",,53,,13,,10,,0,,0,,0,,3,
"20210630","S08000015",,"New Outpatient","A6",,146,,195,,167,,18,,0,,2,,8,
"20130930","S08000015",,"New Outpatient","A6",,182,,180,,110,,58,,0,,4,,8,
"20140930","S08000015",,"New Outpatient","A6",,176,,153,,98,,45,,0,,3,,7,
"20150930","S08000015",,"New Outpatient","A6",,137,,137,,84,,41,,0,,10,,2,
"20160930","S08000015",,"New Outpatient","A6",,155,,172,,109,,53,,0,,4,,6,
"20170930","S08000015",,"New Outpatient","A6",,173,,144,,91,,34,,0,,15,,4,
"20180930","S08000015",,"New Outpatient","A6",,264,,247,,188,,36,,0,,21,,2,
"20190930","S08000015",,"New Outpatient","A6",,263,,240,,183,,53,,0,,3,,1,
"20200930","S08000015",,"New Outpatient","A6",,91,,78,,60,,0,,2,,11,,5,
"20210930","S08000015",,"New Outpatient","A6",,103,,106,,80,,15,,1,,1,,9,
"20130331","S08000015",,"New Outpatient","A6",,144,,120,,84,,30,,0,,3,,3,
"20140331","S08000015",,"New Outpatient","A6",,132,,141,,92,,43,,0,,4,,2,
"20150331","S08000015",,"New Outpatient","A6",,145,,150,,103,,36,,0,,3,,8,
"20160331","S08000015",,"New Outpatient","A6",,144,,146,,96,,42,,0,,5,,3,
"20170331","S08000015",,"New Outpatient","A6",,142,,127,,98,,15,,0,,6,,8,
"20180331","S08000015",,"New Outpatient","A6",,249,,238,,186,,23,,0,,23,,6,
"20190331","S08000015",,"New Outpatient","A6",,241,,229,,187,,29,,3,,7,,3,
"20200331","S08000015",,"New Outpatient","A6",,282,,282,,224,,44,,0,,4,,10,
"20210331","S08000015",,"New Outpatient","A6",,138,,145,,114,,17,,0,,0,,14,
"20220331","S08000015",,"New Outpatient","A6",,77,,76,,58,,15,,1,,0,,2,
"20121231","S08000015",,"New Outpatient","A6",,111,,101,,79,,17,,0,,1,,4,
"20131231","S08000015",,"New Outpatient","A6",,153,,147,,90,,43,,0,,4,,10,
"20141231","S08000015",,"New Outpatient","A6",,146,,155,,101,,47,,0,,5,,2,
"20151231","S08000015",,"New Outpatient","A6",,154,,179,,117,,53,,0,,3,,6,
"20161231","S08000015",,"New Outpatient","A6",,103,,130,,78,,34,,0,,16,,2,
"20171231","S08000015",,"New Outpatient","A6",,165,,170,,120,,34,,0,,14,,2,
"20181231","S08000015",,"New Outpatient","A6",,174,,209,,148,,32,,0,,22,,7,
"20191231","S08000015",,"New Outpatient","A6",,218,,240,,167,,66,,0,,3,,4,
"20201231","S08000015",,"New Outpatient","A6",,118,,186,,123,,46,,0,,2,,15,
