FinancialYear,FinancialYearQF,HB,HBQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,SpecialtyGrouping,SpecialtyGroupingQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,PercentageOccupancy,PercentageOccupancyQF,AllStaffedBeds,AllStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,TotalOccupiedBeds,TotalOccupiedBedsQF
2013/14,"",S08000024,"",,z,Mental Health Grouping,d,Mental Health Grouping,"",666,"",89.3,"",243071,"",594.945205479452,"",217155,""
2013/14,"",S08000024,"",,z,Other Grouping,d,Other Grouping,"",327,"",81.4,"",119282,"",266.1616438356164,"",97149,""
2013/14,"",S08000024,"",,z,Paediatrics Grouping,d,Paediatrics Grouping,"",108,"",66.9,"",39567,"",72.54794520547945,"",26480,""
2013/14,"",S08000024,"",,z,Surgery Grouping,d,Surgery Grouping,"",675,"",84.8,"",246484,"",572.4739726027398,"",208953,""
2013/14,"",S08000024,"",,z,Women and Newborn Grouping,d,Women and Newborn Grouping,"",149,"",69.6,"",54327,"",103.56164383561644,"",37800,""
2013/14,"",S08000025,"",A1,"",General Medicine,"",Medical Grouping,"",3,"",83.8,"",946,"",2.1726027397260275,"",793,""
2013/14,"",S08000025,"",AD,"",Medical Oncology,"",Medical Grouping,"",0,"",100,"",50,"",0.136986301369863,"",50,""
2013/14,"",S08000025,"",AG,"",Renal Medicine,"",Medical Grouping,"",0,"",,z,0,"",0,"",0,""
2013/14,"",S08000025,"",C1,"",General Surgery,"",Surgery Grouping,"",12,"",99.7,"",4225,"",11.536986301369863,"",4211,""
2013/14,"",S08000025,"",C13,"",Oral and Maxillofacial Surgery,"",Surgery Grouping,"",0,"",100,"",5,"",0.0136986301369863,"",5,""
2013/14,"",S08000025,"",C3,"",Anaesthetics,"",Surgery Grouping,"",0,"",100,"",7,"",0.019178082191780823,"",7,""
2013/14,"",S08000025,"",C5,"","Ear, Nose & Throat (ENT)","",Surgery Grouping,"",0,"",100,"",10,"",0.0273972602739726,"",10,""
2013/14,"",S08000025,"",C7,"",Ophthalmology,"",Surgery Grouping,"",0,"",100,"",2,"",0.005479452054794521,"",2,""
2013/14,"",S08000025,"",C8,"",Trauma and Orthopaedic Surgery,"",Surgery Grouping,"",0,"",100,"",13,"",0.03561643835616438,"",13,""
2013/14,"",S08000025,"",D1,"",Community Dental Practice,"",Dental Grouping,"",0,"",,z,0,"",0,"",0,""
2013/14,"",S08000025,"",D3,"",Oral Surgery,"",Dental Grouping,"",0,"",,z,0,"",0,"",0,""
2013/14,"",S08000025,"",E11,"",GP Obstetrics,"",Women and Newborn Grouping,"",6,"",36.7,"",2147,"",2.158904109589041,"",788,""
2013/14,"",S08000025,"",E12,"",GP Other than Obstetrics,"",Community Grouping,"",28,"",93.5,"",10083,"",25.84109589041096,"",9432,""
2013/14,"",S08000025,"",F2,"",Gynaecology,"",Women and Newborn Grouping,"",0,"",100,"",20,"",0.0547945205479452,"",20,""
2013/14,"",S08000025,"",F3,"",Obstetrics,"",Women and Newborn Grouping,"",0,"",100,"",40,"",0.1095890410958904,"",40,""
2013/14,"",S08000025,"",H2,"",Clinical Oncology,"",Medical Grouping,"",0,"",,z,0,"",0,"",0,""
2013/14,"",S08000025,"",J4,"",Haematology,"",Medical Grouping,"",0,"",100,"",13,"",0.03561643835616438,"",13,""
2013/14,"",S08000025,"",XSU,"",Unspecified,"",Other Grouping,"",6,"",0,"",2233,"",0,"",0,""
2013/14,"",S08000025,"",,z,All Acute Specialties,d,All Acute Specialties,d,14,"",96.8,"",5271,"",13.983561643835616,"",5104,""
2013/14,"",S08000025,"",,z,All Specialties,d,All Specialties,d,54,"",77.7,"",19794,"",42.14794520547945,"",15384,""
2013/14,"",S08000025,"",,z,Community Grouping,d,Community Grouping,"",28,"",93.5,"",10083,"",25.84109589041096,"",9432,""
2013/14,"",S08000025,"",,z,Dental Grouping,d,Dental Grouping,"",0,"",,z,0,"",0,"",0,""
2013/14,"",S08000025,"",,z,Medical Grouping,d,Medical Grouping,"",3,"",84.8,"",1009,"",2.345205479452055,"",856,""
2013/14,"",S08000025,"",,z,Other Grouping,d,Other Grouping,"",6,"",0,"",2233,"",0,"",0,""
2013/14,"",S08000025,"",,z,Surgery Grouping,d,Surgery Grouping,"",12,"",99.7,"",4262,"",11.638356164383561,"",4248,""
2013/14,"",S08000025,"",,z,Women and Newborn Grouping,d,Women and Newborn Grouping,"",6,"",38.4,"",2207,"",2.3232876712328765,"",848,""
2013/14,"",S08000026,"",A1,"",General Medicine,"",Medical Grouping,"",33,"",80.6,"",11931,"",26.334246575342465,"",9612,""
2013/14,"",S08000026,"",A2,"",Cardiology,"",Medical Grouping,"",0,"",,z,0,"",0,"",0,""
2013/14,"",S08000026,"",C1,"",General Surgery,"",Surgery Grouping,"",24,"",58.6,"",8753,"",14.063013698630137,"",5133,""
2013/14,"",S08000026,"",C13,"",Oral and Maxillofacial Surgery,"",Surgery Grouping,"",0,"",100,"",3,"",0.00821917808219178,"",3,""
2013/14,"",S08000026,"",C3,"",Anaesthetics,"",Surgery Grouping,"",0,"",100,"",8,"",0.021917808219178082,"",8,""
2013/14,"",S08000026,"",C5,"","Ear, Nose & Throat (ENT)","",Surgery Grouping,"",0,"",100,"",8,"",0.021917808219178082,"",8,""
2013/14,"",S08000026,"",C7,"",Ophthalmology,"",Surgery Grouping,"",0,"",100,"",1,"",0.0027397260273972603,"",1,""
2013/14,"",S08000026,"",C8,"",Trauma and Orthopaedic Surgery,"",Surgery Grouping,"",0,"",100,"",1,"",0.0027397260273972603,"",1,""
2013/14,"",S08000026,"",CA,"",Paediatric Surgery,"",Paediatrics Grouping,"",0,"",,z,0,"",0,"",0,""
2013/14,"",S08000026,"",D3,"",Oral Surgery,"",Dental Grouping,"",0,"",100,"",5,"",0.0136986301369863,"",5,""
2013/14,"",S08000026,"",E11,"",GP Obstetrics,"",Women and Newborn Grouping,"",5,"",24.2,"",1775,"",1.1753424657534246,"",429,""
2013/14,"",S08000026,"",E12,"",GP Other than Obstetrics,"",Community Grouping,"",0,"",100,"",27,"",0.07397260273972603,"",27,""
2013/14,"",S08000026,"",F2,"",Gynaecology,"",Women and Newborn Grouping,"",0,"",100,"",1,"",0.0027397260273972603,"",1,""
2013/14,"",S08000026,"",F3,"",Obstetrics,"",Women and Newborn Grouping,"",0,"",100,"",13,"",0.03561643835616438,"",13,""
2013/14,"",S08000026,"",GLS,"",Geriatric Medicine - long stay unit,"",Other Grouping,"",2,"",0,"",553,"",0,"",0,""
2013/14,"",S08000026,"",,z,All Acute Specialties,d,All Acute Specialties,d,57,"",71.3,"",20705,"",40.45479452054794,"",14766,""
2013/14,"",S08000026,"",,z,All Specialties,d,All Specialties,d,63,"",66,"",23079,"",41.75616438356165,"",15241,""
2013/14,"",S08000026,"",,z,Community Grouping,d,Community Grouping,"",0,"",100,"",27,"",0.07397260273972603,"",27,""
2013/14,"",S08000026,"",,z,Dental Grouping,d,Dental Grouping,"",0,"",100,"",5,"",0.0136986301369863,"",5,""
2013/14,"",S08000026,"",,z,Medical Grouping,d,Medical Grouping,"",33,"",80.6,"",11931,"",26.334246575342465,"",9612,""
2013/14,"",S08000026,"",,z,Other Grouping,d,Other Grouping,"",2,"",0,"",553,"",0,"",0,""
2013/14,"",S08000026,"",,z,Paediatrics Grouping,d,Paediatrics Grouping,"",0,"",,z,0,"",0,"",0,""
2013/14,"",S08000026,"",,z,Surgery Grouping,d,Surgery Grouping,"",24,"",58.7,"",8774,"",14.12054794520548,"",5154,""
2013/14,"",S08000026,"",,z,Women and Newborn Grouping,d,Women and Newborn Grouping,"",5,"",24.8,"",1789,"",1.2136986301369863,"",443,""
2013/14,"",S08000028,"",A1,"",General Medicine,"",Medical Grouping,"",45,"",76.6,"",16278,"",34.13972602739726,"",12461,""
2013/14,"",S08000028,"",AB,"",Geriatric Medicine,"",Medical Grouping,"",2,"",0,"",770,"",0,"",0,""
2013/14,"",S08000028,"",AD,"",Medical Oncology,"",Medical Grouping,"",0,"",,z,0,"",0,"",0,""
2013/14,"",S08000028,"",AF,"",Paediatrics,"",Paediatrics Grouping,"",0,"",100,"",97,"",0.26575342465753427,"",97,""
2013/14,"",S08000028,"",AG,"",Renal Medicine,"",Medical Grouping,"",0,"",100,"",1,"",0.0027397260273972603,"",1,""
2013/14,"",S08000028,"",AP,"",Rehabilitation Medicine,"",Medical Grouping,"",0,"",100,"",4,"",0.010958904109589041,"",4,""
2013/14,"",S08000028,"",AR,"",Rheumatology,"",Medical Grouping,"",0,"",100,"",9,"",0.024657534246575342,"",9,""
2013/14,"",S08000028,"",C1,"",General Surgery,"",Surgery Grouping,"",9,"",74,"",3362,"",6.8191780821917805,"",2489,""
2013/14,"",S08000028,"",C3,"",Anaesthetics,"",Surgery Grouping,"",1,"",0,"",474,"",0,"",0,""
2013/14,"",S08000028,"",C5,"","Ear, Nose & Throat (ENT)","",Surgery Grouping,"",0,"",100,"",14,"",0.038356164383561646,"",14,""
2013/14,"",S08000028,"",C7,"",Ophthalmology,"",Surgery Grouping,"",0,"",100,"",3,"",0.00821917808219178,"",3,""
2013/14,"",S08000028,"",C8,"",Trauma and Orthopaedic Surgery,"",Surgery Grouping,"",15,"",93.7,"",5325,"",13.67123287671233,"",4990,""
2013/14,"",S08000028,"",CB,"",Urology,"",Surgery Grouping,"",0,"",100,"",6,"",0.01643835616438356,"",6,""
2013/14,"",S08000028,"",D3,"",Oral Surgery,"",Dental Grouping,"",0,"",100,"",5,"",0.0136986301369863,"",5,""
2013/14,"",S08000028,"",E12,"",GP Other than Obstetrics,"",Community Grouping,"",30,"",52.7,"",11060,"",15.983561643835616,"",5834,""
2013/14,"",S08000028,"",F2,"",Gynaecology,"",Women and Newborn Grouping,"",2,"",54.3,"",807,"",1.2,"",438,""
2013/14,"",S08000028,"",F3,"",Obstetrics,"",Women and Newborn Grouping,"",6,"",38.9,"",2190,"",2.334246575342466,"",852,""
2013/14,"",S08000028,"",G1,"",General Psychiatry (Mental Illness),"",Mental Health Grouping,"",5,"",86.7,"",1648,"",3.915068493150685,"",1429,""
2013/14,"",S08000028,"",G4,"",Psychiatry of Old Age,"",Mental Health Grouping,"",14,"",86.3,"",5252,"",12.416438356164383,"",4532,""
2013/14,"",S08000028,"",GLS,"",Geriatric Medicine - long stay unit,"",Other Grouping,"",2,"",99.6,"",550,"",1.5013698630136987,"",548,""
2013/14,"",S08000028,"",T21,"",Community Midwifery,"",Women and Newborn Grouping,"",2,"",0,"",730,"",0,"",0,""
2013/14,"",S08000028,"",,z,All Acute Specialties,d,All Acute Specialties,d,72,"",76.1,"",26246,"",54.73150684931507,"",19977,""
2013/14,"",S08000028,"",,z,All Specialties,d,All Specialties,d,133,"",69.4,"",48585,"",92.36164383561643,"",33712,""
2013/14,"",S08000028,"",,z,Community Grouping,d,Community Grouping,"",30,"",52.7,"",11060,"",15.983561643835616,"",5834,""
2013/14,"",S08000028,"",,z,Dental Grouping,d,Dental Grouping,"",0,"",100,"",5,"",0.0136986301369863,"",5,""
2013/14,"",S08000028,"",,z,Medical Grouping,d,Medical Grouping,"",47,"",73.1,"",17062,"",34.178082191780824,"",12475,""
2013/14,"",S08000028,"",,z,Mental Health Grouping,d,Mental Health Grouping,"",19,"",86.4,"",6900,"",16.33150684931507,"",5961,""
2013/14,"",S08000028,"",,z,Other Grouping,d,Other Grouping,"",2,"",99.6,"",550,"",1.5013698630136987,"",548,""
2013/14,"",S08000028,"",,z,Paediatrics Grouping,d,Paediatrics Grouping,"",0,"",100,"",97,"",0.26575342465753427,"",97,""
2013/14,"",S08000028,"",,z,Surgery Grouping,d,Surgery Grouping,"",25,"",81.7,"",9184,"",20.553424657534247,"",7502,""
2013/14,"",S08000028,"",,z,Women and Newborn Grouping,d,Women and Newborn Grouping,"",10,"",34.6,"",3727,"",3.5342465753424657,"",1290,""
2013/14,"",S08000029,"",A1,"",General Medicine,"",Medical Grouping,"",123,"",91.5,"",44762,"",112.21095890410959,"",40957,""
2013/14,"",S08000029,"",A2,"",Cardiology,"",Medical Grouping,"",29,"",92.4,"",10404,"",26.336986301369862,"",9613,""
2013/14,"",S08000029,"",A6,"",Infectious Diseases,"",Medical Grouping,"",10,"",97.5,"",3545,"",9.468493150684932,"",3456,""
2013/14,"",S08000029,"",A7,"",Dermatology,"",Medical Grouping,"",0,"",100,"",50,"",0.136986301369863,"",50,""
2013/14,"",S08000029,"",A8,"",Endocrinology & Diabetes,"",Medical Grouping,"",2,"",44.3,"",567,"",0.6876712328767123,"",251,""
2013/14,"",S08000029,"",A9,"",Gastroenterology,"",Medical Grouping,"",11,"",99.5,"",4020,"",10.956164383561644,"",3999,""
2013/14,"",S08000029,"",AB,"",Geriatric Medicine,"",Medical Grouping,"",232,"",96.4,"",84590,"",223.37534246575342,"",81532,""
2013/14,"",S08000029,"",AD,"",Medical Oncology,"",Medical Grouping,"",0,"",100,"",136,"",0.3726027397260274,"",136,""
2013/14,"",S08000029,"",AF,"",Paediatrics,"",Paediatrics Grouping,"",44,"",44.7,"",16175,"",19.78904109589041,"",7223,""
2013/14,"",S08000029,"",AG,"",Renal Medicine,"",Medical Grouping,"",23,"",96.3,"",8386,"",22.12054794520548,"",8074,""
2013/14,"",S08000029,"",AH,"",Neurology,"",Medical Grouping,"",0,"",100,"",84,"",0.23013698630136986,"",84,""
2013/14,"",S08000029,"",AM,"",Palliative Medicine,"",Medical Grouping,"",25,"",74.2,"",9171,"",18.649315068493152,"",6807,""
2013/14,"",S08000029,"",AP,"",Rehabilitation Medicine,"",Medical Grouping,"",18,"",84.8,"",6571,"",15.263013698630138,"",5571,""
2013/14,"",S08000029,"",AQ,"",Respiratory Medicine,"",Medical Grouping,"",33,"",98.5,"",12002,"",32.4,"",11826,""
2013/14,"",S08000029,"",AR,"",Rheumatology,"",Medical Grouping,"",0,"",100,"",12,"",0.03287671232876712,"",12,""
2013/14,"",S08000029,"",C1,"",General Surgery,"",Surgery Grouping,"",89,"",87.9,"",32435,"",78.11780821917809,"",28513,""
2013/14,"",S08000029,"",C2,"",Accident & Emergency,"",Emergency Grouping,"",5,"",51.2,"",1837,"",2.578082191780822,"",941,""
2013/14,"",S08000029,"",C3,"",Anaesthetics,"",Surgery Grouping,"",10,"",56.4,"",3679,"",5.682191780821918,"",2074,""
2013/14,"",S08000029,"",C5,"","Ear, Nose & Throat (ENT)","",Surgery Grouping,"",7,"",51.3,"",2436,"",3.421917808219178,"",1249,""
2013/14,"",S08000029,"",C7,"",Ophthalmology,"",Surgery Grouping,"",0,"",100,"",182,"",0.4986301369863014,"",182,""
2013/14,"",S08000029,"",C8,"",Trauma and Orthopaedic Surgery,"",Surgery Grouping,"",67,"",81.9,"",24302,"",54.536986301369865,"",19906,""
2013/14,"",S08000029,"",C9,"",Plastic Surgery,"",Surgery Grouping,"",0,"",100,"",3,"",0.00821917808219178,"",3,""
2013/14,"",S08000029,"",CA,"",Paediatric Surgery,"",Paediatrics Grouping,"",0,"",100,"",49,"",0.13424657534246576,"",49,""
2013/14,"",S08000029,"",CB,"",Urology,"",Surgery Grouping,"",24,"",88,"",8777,"",21.161643835616438,"",7724,""
2013/14,"",S08000029,"",D3,"",Oral Surgery,"",Dental Grouping,"",1,"",100,"",399,"",1.093150684931507,"",399,""
2013/14,"",S08000029,"",E12,"",GP Other than Obstetrics,"",Community Grouping,"",61,"",89.2,"",22236,"",54.35890410958904,"",19841,""
2013/14,"",S08000029,"",F2,"",Gynaecology,"",Women and Newborn Grouping,"",14,"",69.4,"",5027,"",9.556164383561644,"",3488,""
2013/14,"",S08000029,"",F3,"",Obstetrics,"",Women and Newborn Grouping,"",57,"",40.7,"",20900,"",23.301369863013697,"",8505,""
2013/14,"",S08000029,"",G1,"",General Psychiatry (Mental Illness),"",Mental Health Grouping,"",168,"",77.6,"",61222,"",130.2054794520548,"",47525,""
2013/14,"",S08000029,"",G2,"",Child & Adolescent Psychiatry,"",Mental Health Grouping,"",0,"",100,"",4,"",0.010958904109589041,"",4,""
2013/14,"",S08000029,"",G3,"",Forensic Psychiatry,"",Mental Health Grouping,"",9,"",81.4,"",3367,"",7.512328767123288,"",2742,""
2013/14,"",S08000029,"",G4,"",Psychiatry of Old Age,"",Mental Health Grouping,"",153,"",63,"",55805,"",96.35068493150685,"",35168,""
2013/14,"",S08000029,"",G5,"",Learning Disability,"",Learning Disability Grouping,"",34,"",88.8,"",12402,"",30.18904109589041,"",11019,""
2013/14,"",S08000029,"",GLS,"",Geriatric Medicine - long stay unit,"",Other Grouping,"",42,"",94.9,"",15315,"",39.81369863013698,"",14532,""
2013/14,"",S08000029,"",H2,"",Clinical Oncology,"",Medical Grouping,"",0,"",100,"",96,"",0.26301369863013696,"",96,""
2013/14,"",S08000029,"",J4,"",Haematology,"",Medical Grouping,"",13,"",78.5,"",4812,"",10.353424657534246,"",3779,""
2013/14,"",S08000029,"",XSU,"",Unspecified,"",Other Grouping,"",9,"",0,"",3281,"",0,"",0,""
2013/14,"",S08000029,"",,z,All Acute Specialties,d,All Acute Specialties,d,715,"",90.4,"",261022,"",646.2849315068493,"",235894,""
2013/14,"",S08000029,"",,z,All Specialties,d,All Specialties,d,1312,"",80.9,"",479041,"",1061.1780821917807,"",387330,""
2013/14,"",S08000029,"",,z,Community Grouping,d,Community Grouping,"",61,"",89.2,"",22236,"",54.35890410958904,"",19841,""
2013/14,"",S08000029,"",,z,Dental Grouping,d,Dental Grouping,"",1,"",100,"",399,"",1.093150684931507,"",399,""
2013/14,"",S08000029,"",,z,Emergency Grouping,d,Emergency Grouping,"",5,"",51.2,"",1837,"",2.578082191780822,"",941,""
2013/14,"",S08000029,"",,z,Learning Disability Grouping,d,Learning Disability Grouping,"",34,"",88.8,"",12402,"",30.18904109589041,"",11019,""
2013/14,"",S08000029,"",,z,Medical Grouping,d,Medical Grouping,"",518,"",93.1,"",189208,"",482.85753424657537,"",176243,""
2013/14,"",S08000029,"",,z,Mental Health Grouping,d,Mental Health Grouping,"",330,"",71,"",120398,"",234.07945205479453,"",85439,""
2013/14,"",S08000029,"",,z,Other Grouping,d,Other Grouping,"",51,"",78.1,"",18596,"",39.81369863013698,"",14532,""
2013/14,"",S08000029,"",,z,Paediatrics Grouping,d,Paediatrics Grouping,"",44,"",44.8,"",16224,"",19.923287671232877,"",7272,""
2013/14,"",S08000029,"",,z,Surgery Grouping,d,Surgery Grouping,"",197,"",83.1,"",71814,"",163.42739726027398,"",59651,""
2013/14,"",S08000029,"",,z,Women and Newborn Grouping,d,Women and Newborn Grouping,"",71,"",46.3,"",25927,"",32.85753424657534,"",11993,""
2013/14,"",S08000030,"",A1,"",General Medicine,"",Medical Grouping,"",232,"",90,"",84516,"",208.34794520547945,"",76047,""
2013/14,"",S08000030,"",A2,"",Cardiology,"",Medical Grouping,"",41,"",90.6,"",14848,"",36.865753424657534,"",13456,""
2013/14,"",S08000030,"",A6,"",Infectious Diseases,"",Medical Grouping,"",16,"",84.5,"",5826,"",13.484931506849316,"",4922,""
2013/14,"",S08000030,"",A7,"",Dermatology,"",Medical Grouping,"",13,"",79.3,"",4880,"",10.608219178082193,"",3872,""
2013/14,"",S08000030,"",A8,"",Endocrinology & Diabetes,"",Medical Grouping,"",0,"",100,"",67,"",0.18356164383561643,"",67,""
2013/14,"",S08000030,"",A9,"",Gastroenterology,"",Medical Grouping,"",27,"",97.2,"",10003,"",26.635616438356163,"",9722,""
2013/14,"",S08000030,"",AB,"",Geriatric Medicine,"",Medical Grouping,"",220,"",83.6,"",80124,"",183.45479452054795,"",66961,""
2013/14,"",S08000030,"",AD,"",Medical Oncology,"",Medical Grouping,"",3,"",23.7,"",1075,"",0.6986301369863014,"",255,""
2013/14,"",S08000030,"",AF,"",Paediatrics,"",Paediatrics Grouping,"",75,"",57.6,"",27222,"",42.942465753424656,"",15674,""
2013/14,"",S08000030,"",AG,"",Renal Medicine,"",Medical Grouping,"",21,"",85.7,"",7572,"",17.783561643835615,"",6491,""
2013/14,"",S08000030,"",AH,"",Neurology,"",Medical Grouping,"",14,"",85.9,"",5258,"",12.367123287671232,"",4514,""
2013/14,"",S08000030,"",AM,"",Palliative Medicine,"",Medical Grouping,"",36,"",71.1,"",13164,"",25.638356164383563,"",9358,""
2013/14,"",S08000030,"",AP,"",Rehabilitation Medicine,"",Medical Grouping,"",34,"",81.5,"",12536,"",27.980821917808218,"",10213,""
2013/14,"",S08000030,"",AQ,"",Respiratory Medicine,"",Medical Grouping,"",31,"",93.4,"",11269,"",28.835616438356166,"",10525,""
2013/14,"",S08000030,"",AR,"",Rheumatology,"",Medical Grouping,"",0,"",100,"",19,"",0.052054794520547946,"",19,""
2013/14,"",S08000030,"",C1,"",General Surgery,"",Surgery Grouping,"",175,"",81.1,"",63829,"",141.9013698630137,"",51794,""
2013/14,"",S08000030,"",C13,"",Oral and Maxillofacial Surgery,"",Surgery Grouping,"",3,"",100,"",1237,"",3.389041095890411,"",1237,""
2013/14,"",S08000030,"",C2,"",Accident & Emergency,"",Emergency Grouping,"",8,"",31.5,"",2886,"",2.4876712328767123,"",908,""
2013/14,"",S08000030,"",C3,"",Anaesthetics,"",Surgery Grouping,"",14,"",65.2,"",4947,"",8.835616438356164,"",3225,""
2013/14,"",S08000030,"",C5,"","Ear, Nose & Throat (ENT)","",Surgery Grouping,"",21,"",41.4,"",7537,"",8.545205479452054,"",3119,""
2013/14,"",S08000030,"",C6,"",Neurosurgery,"",Surgery Grouping,"",21,"",79.8,"",7755,"",16.956164383561642,"",6189,""
2013/14,"",S08000030,"",C7,"",Ophthalmology,"",Surgery Grouping,"",8,"",69.1,"",2826,"",5.35068493150685,"",1953,""
2013/14,"",S08000030,"",C8,"",Trauma and Orthopaedic Surgery,"",Surgery Grouping,"",149,"",68.2,"",54339,"",101.51506849315068,"",37053,""
2013/14,"",S08000030,"",C9,"",Plastic Surgery,"",Surgery Grouping,"",22,"",64.4,"",8073,"",14.252054794520548,"",5202,""
2013/14,"",S08000030,"",CA,"",Paediatric Surgery,"",Paediatrics Grouping,"",0,"",70.7,"",58,"",0.11232876712328767,"",41,""
2013/14,"",S08000030,"",CB,"",Urology,"",Surgery Grouping,"",21,"",88.7,"",7708,"",18.726027397260275,"",6835,""
2013/14,"",S08000030,"",D1,"",Community Dental Practice,"",Dental Grouping,"",0,"",100,"",16,"",0.043835616438356165,"",16,""
2013/14,"",S08000030,"",D3,"",Oral Surgery,"",Dental Grouping,"",0,"",100,"",44,"",0.12054794520547946,"",44,""
2013/14,"",S08000030,"",D6,"",Restorative Dentistry,"",Dental Grouping,"",0,"",100,"",4,"",0.010958904109589041,"",4,""
2013/14,"",S08000030,"",D8,"",Paediatric Dentistry,"",Paediatrics Grouping,"",0,"",,z,0,"",0,"",0,""
2013/14,"",S08000030,"",E12,"",GP Other than Obstetrics,"",Community Grouping,"",126,"",69.8,"",46070,"",88.08493150684932,"",32151,""
2013/14,"",S08000030,"",F2,"",Gynaecology,"",Women and Newborn Grouping,"",23,"",43.8,"",8329,"",9.991780821917809,"",3647,""
2013/14,"",S08000030,"",F3,"",Obstetrics,"",Women and Newborn Grouping,"",49,"",64.9,"",17771,"",31.586301369863012,"",11529,""
2013/14,"",S08000030,"",G1,"",General Psychiatry (Mental Illness),"",Mental Health Grouping,"",152,"",72.9,"",55381,"",110.6,"",40369,""
2013/14,"",S08000030,"",G2,"",Child & Adolescent Psychiatry,"",Mental Health Grouping,"",6,"",80.3,"",2238,"",4.920547945205479,"",1796,""
2013/14,"",S08000030,"",G3,"",Forensic Psychiatry,"",Mental Health Grouping,"",55,"",77.3,"",20075,"",42.52876712328767,"",15523,""
2013/14,"",S08000030,"",G4,"",Psychiatry of Old Age,"",Mental Health Grouping,"",183,"",72,"",66926,"",132.04931506849314,"",48198,""
2013/14,"",S08000030,"",G5,"",Learning Disability,"",Learning Disability Grouping,"",36,"",87.3,"",13177,"",31.4986301369863,"",11497,""
2013/14,"",S08000030,"",GLS,"",Geriatric Medicine - long stay unit,"",Other Grouping,"",38,"",94.2,"",13782,"",35.58082191780822,"",12987,""
2013/14,"",S08000030,"",H2,"",Clinical Oncology,"",Medical Grouping,"",31,"",84.8,"",11238,"",26.101369863013698,"",9527,""
2013/14,"",S08000030,"",J4,"",Haematology,"",Medical Grouping,"",13,"",82.9,"",4872,"",11.068493150684931,"",4040,""
2013/14,"",S08000030,"",T21,"",Community Midwifery,"",Women and Newborn Grouping,"",24,"",22.9,"",8801,"",5.512328767123288,"",2012,""
2013/14,"",S08000030,"",,z,All Acute Specialties,d,All Acute Specialties,d,1166,"",81.5,"",425518,"",949.5780821917808,"",346596,""
2013/14,"",S08000030,"",,z,All Specialties,d,All Specialties,d,1941,"",76.7,"",708298,"",1487.6493150684933,"",542992,""
2013/14,"",S08000030,"",,z,Community Grouping,d,Community Grouping,"",126,"",69.8,"",46070,"",88.08493150684932,"",32151,""
2013/14,"",S08000030,"",,z,Dental Grouping,d,Dental Grouping,"",0,"",100,"",64,"",0.17534246575342466,"",64,""
2013/14,"",S08000030,"",,z,Emergency Grouping,d,Emergency Grouping,"",8,"",31.5,"",2886,"",2.4876712328767123,"",908,""
2013/14,"",S08000030,"",,z,Learning Disability Grouping,d,Learning Disability Grouping,"",36,"",87.3,"",13177,"",31.4986301369863,"",11497,""
2013/14,"",S08000030,"",,z,Medical Grouping,d,Medical Grouping,"",732,"",86.1,"",267267,"",630.1068493150685,"",229989,""
2013/14,"",S08000030,"",,z,Mental Health Grouping,d,Mental Health Grouping,"",396,"",73.2,"",144620,"",290.0986301369863,"",105886,""
2013/14,"",S08000030,"",,z,Other Grouping,d,Other Grouping,"",38,"",94.2,"",13782,"",35.58082191780822,"",12987,""
2013/14,"",S08000030,"",,z,Paediatrics Grouping,d,Paediatrics Grouping,"",75,"",57.6,"",27280,"",43.054794520547944,"",15715,""
2013/14,"",S08000030,"",,z,Surgery Grouping,d,Surgery Grouping,"",434,"",73.7,"",158251,"",319.47123287671235,"",116607,""
2013/14,"",S08000030,"",,z,Women and Newborn Grouping,d,Women and Newborn Grouping,"",96,"",49.2,"",34901,"",47.09041095890411,"",17188,""
2013/14,"",S08000031,"",A1,"",General Medicine,"",Medical Grouping,"",1179,"",86.6,"",430514,"",1021.1123287671232,"",372706,""
2013/14,"",S08000031,"",A2,"",Cardiology,"",Medical Grouping,"",130,"",85.3,"",47395,"",110.78356164383561,"",40436,""
2013/14,"",S08000031,"",A6,"",Infectious Diseases,"",Medical Grouping,"",30,"",87.8,"",11080,"",26.638356164383563,"",9723,""
2013/14,"",S08000031,"",A7,"",Dermatology,"",Medical Grouping,"",14,"",81,"",5232,"",11.616438356164384,"",4240,""
2013/14,"",S08000031,"",A8,"",Endocrinology & Diabetes,"",Medical Grouping,"",5,"",100,"",1695,"",4.6438356164383565,"",1695,""
2013/14,"",S08000031,"",A9,"",Gastroenterology,"",Medical Grouping,"",34,"",99.9,"",12276,"",33.59452054794521,"",12262,""
2013/14,"",S08000031,"",AB,"",Geriatric Medicine,"",Medical Grouping,"",1066,"",93.2,"",389052,"",993.3671232876712,"",362579,""
2013/14,"",S08000031,"",AC,"",Homeopathy,"",Other Grouping,"",5,"",64.6,"",1944,"",3.4383561643835616,"",1255,""
2013/14,"",S08000031,"",AD,"",Medical Oncology,"",Medical Grouping,"",31,"",65.3,"",11432,"",20.443835616438356,"",7462,""
2013/14,"",S08000031,"",AF,"",Paediatrics,"",Paediatrics Grouping,"",163,"",56.3,"",59650,"",92.05205479452054,"",33599,""
2013/14,"",S08000031,"",AG,"",Renal Medicine,"",Medical Grouping,"",58,"",95.3,"",21130,"",55.16712328767123,"",20136,""
